id, retning, from address,from nr, from zip, from lon, from lat, to address,to nr, to zip, to lon, to lat, fejlkode, rutenavn, meter, sekunder, hastighed, sek ved std hastighed
0,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Danneskiold-Samsøes Allé,41,1434,55.680538155828,12.6037197815902,0,Kronprinsessegade,3209,848,13.62311320754717,704
1,arbejde > hjem,Danneskiold-Samsøes Allé,41,1434,55.680538155828,12.6037197815902,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Strandgade,3209,840,13.752857142857144,704
2,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Nørre Voldgade,56,1358,55.6820577837877,12.5704611697303,0,Sølvgade,1367,380,12.950526315789475,300
3,arbejde > hjem,Nørre Voldgade,56,1358,55.6820577837877,12.5704611697303,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Nørre Voldgade,1367,383,12.849086161879896,300
4,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Strandgade,36,1401,55.6746537516726,12.5910722960965,0,Kronprinsessegade,2001,541,13.315341959334566,439
5,arbejde > hjem,Strandgade,36,1401,55.6746537516726,12.5910722960965,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Bremerholm,2001,535,13.464672897196262,439
6,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Holmens Kanal,18,1060,55.6774558859942,12.5845974425978,0,Kronprinsessegade,1275,341,13.46041055718475,279
7,arbejde > hjem,Holmens Kanal,18,1060,55.6774558859942,12.5845974425978,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Bremerholm,1275,339,13.539823008849558,279
8,hjem > arbejde,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,Bredgade,65,1260,55.6864516275093,12.5918389699654,0,Gernersgade,723,197,13.21218274111675,158
9,arbejde > hjem,Bredgade,65,1260,55.6864516275093,12.5918389699654,Kronprinsessegade,66,1306,55.687738883383,12.5852145506703,0,Bredgade / O2,614,156,14.169230769230769,134
